[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2436702
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
Outputs directory created
Dump directory created
dw =  2.3968449809785852e-05
dt =  0.0625
T Target =  0.0004997501249375312
itern =  62  , diff =  28726.829831112635  , x =  0.01
itern =  63  , diff =  28151.9532521948  , x =  0.01
itern =  64  , diff =  27588.539666926594  , x =  0.01
itern =  65  , diff =  27036.360408831744  , x =  0.01
itern =  66  , diff =  26495.192067939475  , x =  0.01
itern =  67  , diff =  25964.816387049555  , x =  0.01
itern =  68  , diff =  25445.020163030058  , x =  0.01
itern =  69  , diff =  24935.595152295326  , x =  0.01
itern =  70  , diff =  24436.337979623906  , x =  0.01
itern =  71  , diff =  23947.050049463545  , x =  0.01
itern =  72  , diff =  23467.537458857525  , x =  0.01
itern =  73  , diff =  22997.610911090356  , x =  0.01
itern =  74  , diff =  22537.08562911157  , x =  0.01
itern =  75  , diff =  22085.781267745824  , x =  0.01
itern =  76  , diff =  21643.521823643823  , x =  0.01
itern =  77  , diff =  21210.135541873242  , x =  0.01
itern =  78  , diff =  20785.454818004222  , x =  0.01
itern =  79  , diff =  20369.316094498165  , x =  0.01
itern =  80  , diff =  19961.559750205994  , x =  0.01
itern =  81  , diff =  19562.029981786476  , x =  0.01
itern =  82  , diff =  19170.57467592264  , x =  0.01
itern =  83  , diff =  18787.045271321924  , x =  0.01
itern =  84  , diff =  18411.296609664754  , x =  0.01
itern =  85  , diff =  18043.186774915437  , x =  0.01
itern =  86  , diff =  17682.57692074006  , x =  0.01
itern =  87  , diff =  17329.33108619135  , x =  0.01
itern =  88  , diff =  16983.316000308932  , x =  0.01
itern =  89  , diff =  16644.400876851723  , x =  0.01
itern =  90  , diff =  16312.457200996561  , x =  0.01
itern =  91  , diff =  15987.35851049218  , x =  0.01
itern =  92  , diff =  15668.980174409931  , x =  0.01
itern =  93  , diff =  15357.199173263161  , x =  0.01
itern =  94  , diff =  15051.893884814199  , x =  0.01
itern =  95  , diff =  14752.94388033147  , x =  0.01
itern =  96  , diff =  14460.22973633981  , x =  0.01
itern =  97  , diff =  14173.63286700076  , x =  0.01
itern =  98  , diff =  13893.035382125934  , x =  0.01
itern =  99  , diff =  13618.31997545731  , x =  0.01
itern =  100  , diff =  13349.36984723324  , x =  0.01
##### Finished beta =  4  INFO =  (101, 13086.068664209104, 0.01)
itern =  1  , diff =  67512.16025141391  , x =  0.01
itern =  2  , diff =  122853.83349819391  , x =  0.01
itern =  3  , diff =  119874.02999358068  , x =  0.01
itern =  4  , diff =  114938.37231800563  , x =  0.01
itern =  5  , diff =  108051.53484693865  , x =  0.01
itern =  6  , diff =  99861.79327341753  , x =  0.01
itern =  7  , diff =  92132.24931409737  , x =  0.01
itern =  8  , diff =  87907.82592534421  , x =  0.01
itern =  9  , diff =  85442.19723077676  , x =  0.01
itern =  10  , diff =  83516.48862518492  , x =  0.01
itern =  11  , diff =  81793.16720282544  , x =  0.01
itern =  12  , diff =  80197.98567551727  , x =  0.01
itern =  13  , diff =  78736.74746065112  , x =  0.01
itern =  14  , diff =  77502.17499124294  , x =  0.01
itern =  15  , diff =  76964.22346592175  , x =  0.01
itern =  16  , diff =  84679.01572317551  , x =  0.01
itern =  17  , diff =  85587.8321030128  , x =  0.01
itern =  18  , diff =  76017.71606439319  , x =  0.01
itern =  19  , diff =  70022.69063329573  , x =  0.01
itern =  20  , diff =  68040.60827489488  , x =  0.01
itern =  21  , diff =  67426.08754991679  , x =  0.01
itern =  22  , diff =  64788.1469962453  , x =  0.01
itern =  23  , diff =  63410.03767688757  , x =  0.01
itern =  24  , diff =  62093.9254249113  , x =  0.01
itern =  25  , diff =  60819.00901597846  , x =  0.01
itern =  26  , diff =  59578.45408056543  , x =  0.01
itern =  27  , diff =  58368.62376503182  , x =  0.01
itern =  28  , diff =  57187.19074875627  , x =  0.01
itern =  29  , diff =  56032.49579091291  , x =  0.01
itern =  30  , diff =  54903.26510945944  , x =  0.01
itern =  31  , diff =  53798.46640885873  , x =  0.01
itern =  32  , diff =  52717.228206660235  , x =  0.01
itern =  33  , diff =  51658.79141546703  , x =  0.01
itern =  34  , diff =  50622.478714500554  , x =  0.01
itern =  35  , diff =  49607.67434289443  , x =  0.01
itern =  36  , diff =  48613.81029820843  , x =  0.01
itern =  37  , diff =  47640.35662910897  , x =  0.01
itern =  38  , diff =  46686.814432379586  , x =  0.01
itern =  39  , diff =  45752.71068694362  , x =  0.01
itern =  40  , diff =  44837.594366308665  , x =  0.01
itern =  41  , diff =  43941.033459789374  , x =  0.01
itern =  42  , diff =  43062.61265195994  , x =  0.01
itern =  43  , diff =  42201.93148696321  , x =  0.01
itern =  44  , diff =  41358.60289540609  , x =  0.01
itern =  45  , diff =  40532.25199618207  , x =  0.01
itern =  46  , diff =  39722.51510941817  , x =  0.01
itern =  47  , diff =  38929.038933470736  , x =  0.01
itern =  48  , diff =  38151.47985080945  , x =  0.01
itern =  49  , diff =  37389.5033362317  , x =  0.01
itern =  50  , diff =  36642.7834471401  , x =  0.01
